# Site Audit Report — www.shreegauli.com
# Crawled: 2026-04-15T18:48:16.521Z
# Pages Scanned: 42
# Health Score: 80/100
# Errors: 1 | Warnings: 93 | Notices: 41

## Issues Summary
Severity,Category,Issue,Affected Pages
WARNING,content,Title too long,21
WARNING,content,Duplicate title tag,2
WARNING,content,Duplicate meta description,2
ERROR,content,Missing H1 heading,1
WARNING,content,Low word count,6
NOTICE,content,Low text to HTML ratio,40
WARNING,content,Duplicate content,2
WARNING,links,Pages with only one internal link,9
WARNING,links,Links with no anchor text,42
NOTICE,links,Canonical URL mismatch,1
WARNING,performance,Slow page load speed,3
WARNING,markup,Missing ALT attributes,6

## Pages Detail
URL,Status Code,Redirected To,Redirect Chain,Crawl Depth,Title,Title Length,Meta Description,Meta Description Length,H1,H1 Count,H2s,Canonical,Meta Robots,X-Robots-Tag,Viewport,Charset,Language,Doctype,Word Count,Text/HTML Ratio,Content Hash,Internal Links,External Links,Total Links,Total Images,Missing ALT,JS Files,CSS Files,Schema Types,Schema Errors,OG Title,OG Description,OG Image,Twitter Card,Twitter Title,Twitter Image,TTFB,HTML Size,Content Encoding,Cache-Control,HSTS,Semantic Score,JS Rendered,Fetch Error
https://www.shreegauli.com/services/seo-aeo-geo,200,,,1,"SEO, AEO & GEO Services | Rank on Google and AI Search Engines",62,"Technical SEO audits, AI search optimization (AEO), and geo-targeted search strategies (GEO). Get found on Google, ChatGPT, Perplexity, and every search engine that matters.",173,Rank on Google. Get cited by AI. Dominate local search.,1,Three pillars of modern search | How it works | What you get | Frequently asked questions | Related services | Ready to fix the bottleneck?,https://www.shreegauli.com/services/seo-aeo-geo,"index, follow",,Yes,utf-8,en,Yes,766,5%,6a82fdf49976324c8e7c8e61e78ba596,34,1,35,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage, Service",None,"SEO, AEO & GEO Services | Rank on Google and AI Search Engines","Technical SEO audits, AI search optimization (AEO), and geo-targeted search strategies (GEO). Get found on Google, ChatGPT, Perplexity, and every search engine that matters.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"SEO, AEO & GEO Services | Rank on Google and AI Search Engines",https://www.shreegauli.com/og-image.jpg,325ms,100KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/services/automation,200,,,1,"Marketing Automation & AI Follow-Up Systems | n8n, CRM & AI Bots",64,"Custom n8n workflows, AI chatbot lead capture, automated appointment reminders, review collection, and CRM integration — so you never lose a lead again.",152,"Stop losing leads. Automate follow-up, booking, and reviews.",1,What I automate | How it works | What you get | Pre-built n8n templates available | Frequently asked questions | Related services | Ready to fix the bottleneck?,https://www.shreegauli.com/services/automation,"index, follow",,Yes,utf-8,en,Yes,801,5%,22a8ecf551d10aa834d20e9a91c21fc0,34,1,35,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage, Service",None,"Marketing Automation & AI Follow-Up Systems | n8n, CRM & AI Bots","Custom n8n workflows, AI chatbot lead capture, automated appointment reminders, review collection, and CRM integration — so you never lose a lead again.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Marketing Automation & AI Follow-Up Systems | n8n, CRM & AI Bots",https://www.shreegauli.com/og-image.jpg,497ms,99KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/work/tacklers-consulting,200,,,1,"Full-stack Next.js platform shipped with auth, ... | Case Study",63,"No web presence. Needed a professional website + internal web app for client management. See how full-stack next.js platform shipped with auth, dashboard, and seo was achieved through focused next.js, react, typescript, prisma, supabase, tailwind css work.",256,"Full-stack consulting platform built with Next.js, Prisma, and Supabase",1,A consulting firm with no digital infrastructure. | Full-stack development with SEO-first architecture. | Measurable results that speak for themselves. | Ready to scale your organic visibility?,https://www.shreegauli.com/work/tacklers-consulting,"index, follow",,Yes,utf-8,en,Yes,414,4%,7c9def42b195ce4d7df499a394852c06,31,1,32,1,1,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,"Full-stack Next.js platform shipped with auth, ... | Case Study","No web presence. Needed a professional website + internal web app for client management. See how full-stack next.js platform shipped with auth, dashboard, and seo was achieved through focused next.js, react, typescript, prisma, supabase, tailwind css work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Full-stack Next.js platform shipped with auth, ... | Case Study",https://www.shreegauli.com/og-image.jpg,494ms,68KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/work/olivia-tanghulu,200,,,1,"Shopify store live with custom design, product ... | Case Study",63,"Needed an e-commerce presence to sell tanghulu treats online with eye-catching product pages. See how shopify store live with custom design, product pages, and seo foundation was achieved through focused shopify, e-commerce, custom theme, seo, product design work.",264,"Shopify e-commerce store — custom theme, product showcase, and SEO-optimized store",1,A food brand ready to sell online — but no storefront. | A Shopify store as appealing as the product. | Measurable results that speak for themselves. | Ready to scale your organic visibility?,https://www.shreegauli.com/work/olivia-tanghulu,"index, follow",,Yes,utf-8,en,Yes,411,4%,3e7b402f92c0f51c691a1bdce6df551f,31,1,32,1,1,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,"Shopify store live with custom design, product ... | Case Study","Needed an e-commerce presence to sell tanghulu treats online with eye-catching product pages. See how shopify store live with custom design, product pages, and seo foundation was achieved through focused shopify, e-commerce, custom theme, seo, product design work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Shopify store live with custom design, product ... | Case Study",https://www.shreegauli.com/og-image.jpg,467ms,69KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/work/seo-website-launch,200,,,1,9.41K impressions and 252 organic clicks within... | Case Study,63,"Brand-new clinic with no website, no domain authority, and zero online presence. See how 9.41k impressions and 252 organic clicks within 2 months was achieved through focused seo, web development, local seo, google search console work.",235,From zero to 9.41K impressions in 60 days with a one-day website build,1,"A brand-new clinic with zero digital presence. | A rapid, SEO-first website launch. | Don't take our word for it — see the data. | Measurable results that speak for themselves. | Ready to scale your organic visibility?",https://www.shreegauli.com/work/seo-website-launch,"index, follow",,Yes,utf-8,en,Yes,534,5%,1e318d9498150d0e374c33632c9f32e2,31,1,32,2,1,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,9.41K impressions and 252 organic clicks within... | Case Study,"Brand-new clinic with no website, no domain authority, and zero online presence. See how 9.41k impressions and 252 organic clicks within 2 months was achieved through focused seo, web development, local seo, google search console work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,9.41K impressions and 252 organic clicks within... | Case Study,https://www.shreegauli.com/og-image.jpg,184ms,71KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/seo-tools,200,,,1,"Free SEO Audit Tool | Check Titles, H1s, Speed, Schema",54,"Audit any page for titles, meta descriptions, H1s, schema, canonical tags, and other SEO issues in minutes.",107,Full SEO Audit Suite,1,,https://www.shreegauli.com/seo-tools,"index, follow",,Yes,utf-8,en,Yes,138,2%,03b29c40f97c50b26f6ad1f446a874bd,28,1,29,0,0,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,"Free SEO Audit Tool | Check Titles, H1s, Speed, Schema","Audit any page for titles, meta descriptions, H1s, schema, canonical tags, and other SEO issues in minutes.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Free SEO Audit Tool | Check Titles, H1s, Speed, Schema",https://www.shreegauli.com/og-image.jpg,214ms,43KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/lp/free-seo-audit,200,,,1,Free SEO Audit | Spot High-Impact Issues Fast,45,"Run a free SEO audit, spot high-impact issues fast, and book a review if you want help prioritizing the fixes.",110,Run a free SEO audit and see what needs fixing first,1,When this is the right first step,https://www.shreegauli.com/lp/free-seo-audit,"index, follow",,Yes,utf-8,en,Yes,270,3%,694a4453a98bb228859194e0d192c5d9,30,1,31,0,0,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,Free SEO Audit | Spot High-Impact Issues Fast,"Run a free SEO audit, spot high-impact issues fast, and book a review if you want help prioritizing the fixes.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Free SEO Audit | Spot High-Impact Issues Fast,https://www.shreegauli.com/og-image.jpg,248ms,60KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/results,200,,,1,"Results & Case Studies | Websites Built, Rankings Earned",56,"Real results from real projects: 14+ websites shipped, 5 Next.js web apps, 340% organic growth, and 20+ hours saved weekly through automation.",142,,0,Results that speak for themselves | Case Studies | Technologies I build with | Ready to fix the bottleneck?,https://www.shreegauli.com/results,"index, follow",,Yes,utf-8,en,Yes,617,4%,4ff4f945aa7af44e4e1ebc32eb68653c,38,1,39,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,"Results & Case Studies | Websites Built, Rankings Earned","Real results from real projects: 14+ websites shipped, 5 Next.js web apps, 340% organic growth, and 20+ hours saved weekly through automation.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Results & Case Studies | Websites Built, Rankings Earned",https://www.shreegauli.com/og-image.jpg,413ms,97KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/newsletter,200,,,1,"Dev & SEO Newsletter | Web Development, SEO, and Automation Notes",65,"Subscribe for practical notes on web development, SEO, automation, and technical strategy from a working full-stack developer.",126,Short notes for people building real growth systems,1,What you get | What you do not get | Who it is for,https://www.shreegauli.com/newsletter,"index, follow",,Yes,utf-8,en,Yes,217,2%,cbc033874da2095a861efe4d6f072a8d,28,1,29,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,"Dev & SEO Newsletter | Web Development, SEO, and Automation Notes","Subscribe for practical notes on web development, SEO, automation, and technical strategy from a working full-stack developer.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Dev & SEO Newsletter | Web Development, SEO, and Automation Notes",https://www.shreegauli.com/og-image.jpg,427ms,54KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/faq,200,,,1,FAQ | Web Development & SEO Questions Answered,46,"Answers to common questions about web development, SEO services, timelines, pricing, tech stack, and how projects work.",119,Questions that usually come up before we start,1,What technologies do you use? | How long does a website project take? | Do I need a custom Next.js site or will WordPress work? | Is SEO included with every website? | What is AEO and why does it matter? | How much does a website cost? | Do you offer ongoing maintenance? | Do you work with businesses outside Dallas? | Will I own the code and assets? | Do you guarantee rankings?,https://www.shreegauli.com/faq,"index, follow",,Yes,utf-8,en,Yes,549,5%,86b806eb8795397fbbcd80b1a2dbc5c7,30,1,31,0,0,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage",None,FAQ | Web Development & SEO Questions Answered,"Answers to common questions about web development, SEO services, timelines, pricing, tech stack, and how projects work.",https://www.shreegauli.com/og-image.jpg,summary_large_image,FAQ | Web Development & SEO Questions Answered,https://www.shreegauli.com/og-image.jpg,536ms,71KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/working-together,200,,,1,How It Works | Working With a Full-Stack Developer,50,"See how discovery, design, development, and launch work when you hire Shree directly as your web developer and SEO consultant.",126,What a project actually looks like,1,1. Discovery call | 2. Design & scope | 3. Build & optimize | 4. Launch & grow | Who this tends to fit | How communication works,https://www.shreegauli.com/working-together,"index, follow",,Yes,utf-8,en,Yes,376,4%,ff89b6ade6c4609c3a429e969189867b,30,1,31,0,0,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,How It Works | Working With a Full-Stack Developer,"See how discovery, design, development, and launch work when you hire Shree directly as your web developer and SEO consultant.",https://www.shreegauli.com/og-image.jpg,summary_large_image,How It Works | Working With a Full-Stack Developer,https://www.shreegauli.com/og-image.jpg,262ms,64KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/pricing,200,,,1,"Pricing | Web Development, SEO & Automation — Project-Based",59,"Transparent, project-based pricing for custom websites, web apps, e-commerce stores, SEO, and automation. No retainer lock-ins. No agency overhead.",147,"Transparent, project-based pricing",1,Ongoing services & add-ons | How pricing works | Ready to start?,https://www.shreegauli.com/pricing,"index, follow",,Yes,utf-8,en,Yes,478,3%,cebb09763f2c34356ab3198c72338a10,33,1,34,0,0,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,"Pricing | Web Development, SEO & Automation — Project-Based","Transparent, project-based pricing for custom websites, web apps, e-commerce stores, SEO, and automation. No retainer lock-ins. No agency overhead.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Pricing | Web Development, SEO & Automation — Project-Based",https://www.shreegauli.com/og-image.jpg,285ms,101KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/testimonials,200,,,1,Client Testimonials | Web Development & SEO Reviews,51,"Verified reviews from business owners who hired Shree for web development, SEO, and automation projects. 4.9 average rating.",124,What clients say after the work starts moving,1,Looking for proof beyond quotes?,https://www.shreegauli.com/testimonials,"index, follow",,Yes,utf-8,en,Yes,441,3%,dbf36959ec60600f1ed1573eca293606,30,1,31,0,0,13,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, ProfessionalService",None,Client Testimonials | Web Development & SEO Reviews,"Verified reviews from business owners who hired Shree for web development, SEO, and automation projects. 4.9 average rating.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Client Testimonials | Web Development & SEO Reviews,https://www.shreegauli.com/og-image.jpg,129ms,75KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/privacy,200,,,1,Privacy Policy — Shree Krishna Gauli,36,"Privacy policy for shreegauli.com. Learn how your data is collected, used, and protected.",89,Privacy Policy,1,1. Information I Collect | 2. How I Use Your Information | 3. Data Sharing | 4. Cookies | 5. Data Retention | 6. Your Rights | 7. Contact,https://www.shreegauli.com/privacy,"index, follow",,Yes,utf-8,en,Yes,391,5%,05a6bd73060a279bbe696a60526d7dcd,31,1,32,0,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,Privacy Policy — Shree Krishna Gauli,"Privacy policy for shreegauli.com. Learn how your data is collected, used, and protected.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Privacy Policy — Shree Krishna Gauli,https://www.shreegauli.com/og-image.jpg,174ms,53KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/terms,200,,,1,Terms of Service — Shree Krishna Gauli,38,Terms of service for shreegauli.com.,36,Terms of Service,1,1. Overview | 2. Services | 3. Client Portal | 4. Intellectual Property | 5. Free SEO Tool | 6. Limitation of Liability | 7. Changes to These Terms | 8. Contact,https://www.shreegauli.com/terms,"index, follow",,Yes,utf-8,en,Yes,336,4%,4b55ccc7e3055f67cb632991dce7530a,29,1,30,0,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,Terms of Service — Shree Krishna Gauli,Terms of service for shreegauli.com.,https://www.shreegauli.com/og-image.jpg,summary_large_image,Terms of Service — Shree Krishna Gauli,https://www.shreegauli.com/og-image.jpg,133ms,50KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/blogs/aeo-geo-how-to-rank-in-ai-search,200,,,2,AEO and GEO: How to Rank in AI Search as SEO Keeps Changing | Shree Gauli,73,"Learn how AEO and GEO fit into modern SEO, what still matters, and how to rank in AI-driven search experiences without chasing shortcuts.",137,AEO and GEO: How to Rank While AI Keeps Reshaping SEO,1,Turn this into an action plan | Why AEO and GEO matter now | SEO is still the foundation | How to rank in AI-influenced search | Answer the main question early | Make content citation-friendly | Build trust into the page | Think beyond text alone | Measure more than clicks | The AI search landscape is moving fast | What modern SEO is becoming | What to do next | Turn blog insight into real marketing action | Keep reading,https://www.shreegauli.com/blogs/aeo-geo-how-to-rank-in-ai-search,"index, follow",,Yes,utf-8,en,Yes,1755,10%,de0ab430ab00f4a7dee5a9843b868808,45,19,64,4,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, BlogPosting",None,AEO and GEO: How to Rank in AI Search as SEO Keeps Changing | Shree Gauli,"Learn how AEO and GEO fit into modern SEO, what still matters, and how to rank in AI-driven search experiences without chasing shortcuts.",https://www.shreegauli.com/og-image.jpg,summary_large_image,AEO and GEO: How to Rank in AI Search as SEO Keeps Changing | Shree Gauli,https://www.shreegauli.com/og-image.jpg,3943ms,102KB,br,"public, max-age=0, must-revalidate",max-age=63072000,7/7,No,
